0.198,0.215,0.203,0.193,0.202
0.8,0.769,0.771,0.808,0.759
0.268,0.322,0.322,0.268,0.325
0.159,0.185,0.186,0.153,0.2
2.739,2.912,2.871,2.678,2.973
0.585,0.579,0.601,0.623,0.584
0.635,0.618,0.637,0.67,0.63
0.608,0.611,0.634,0.62,0.61
0.731,0.698,0.72,0.703,0.715
0.564,0.554,0.573,0.628,0.565
0.564,0.554,0.572,0.64,0.566
